neighborhood,title,price,bedrooms,pid,sourcepage,link,date,sqft,longitude,latitude
glen park,"UpperFlat in SafeNeighborhd w IncredibleView nr BART, MUNI, GoogleStop",3100.0,2.0,4761829891,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761829891.html,2014-11-14 15:11,1000.0,-122.43974299999999,37.731584000000005
fremont / union city / newark,"2BR, & 3BR Apartments Available with Upgrades",2713.0,,4761829181,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761829181.html,2014-11-14 15:35,,,
oakland lake merritt / grand,Studio/Lake area,1195.0,,4761853061,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761853061.html,2014-11-14 15:35,418.0,,
oakland lake merritt / grand,Adams Point/Lake area,2295.0,2.0,4752553530,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4752553530.html,2014-11-14 15:34,10520.0,-122.255645,37.812378
brentwood / oakley,Two Story 3/2,1900.0,3.0,4750929111,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4750929111.html,2014-11-14 15:33,,,
oakland lake merritt / grand,Adams Point/Lake area,1495.0,1.0,4752552471,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4752552471.html,2014-11-14 15:33,9440.0,-122.255623,37.812360999999996
berkeley north / hills, Spacious Bright Studio walk to BART,1800.0,,4750441955,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4750441955.html,2014-11-14 15:33,,-122.28838,37.872125
dublin / pleasanton / livermore,"Great deal! 2 bed, 2 bath, immediate move,!!!",2435.0,2.0,4761801387,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761801387.html,2014-11-14 15:32,1002.0,-121.910468,37.710562
dublin / pleasanton / livermore,Fantastic Location- Right Next to BART!,2265.0,1.0,4761826227,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761826227.html,2014-11-14 15:31,769.0,-121.897902,37.703210999999996
sunnyvale,Ground Floor Unit- all new laminate style flooring!,1950.0,1.0,4738854338,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4738854338.html,2014-11-14 15:30,700.0,-122.03007099999999,37.338853
